No;DATE;PM10;MPM10;NO;MNO;NO2;MNO2;NOX;MNOX;GRAD;MGRAD;TempAir;MTEMP;HUMAIR;MHUM;FF;MFF;DD;MDD;RAIN;MRAIN;SCODE
110;20/04/2017;39.23;  ;7.18;  ;7.73;  ;9.12;  ;6.95;  ;29.47;  ;75.85;  ;0.87;  ;150.19;  ;0;  ;HIJPR
111;21/04/2017;73.68;  ;14.62;  ;18.88;  ;20.1;  ;72.17;  ;29.06;  ;79.31;  ;0.35;  ;114.76;  ;0.48;  ;HIJPR
112;22/04/2017;90.07;  ;9.06;  ;16.35;  ;14.72;  ;98.65;  ;28.65;  ;80.08;  ;0.58;  ;204.74;  ;0.03;  ;HIJPR
113;23/04/2017;48.81;  ;5.13;  ;15.12;  ;11.19;  ;120.42;  ;29.02;  ;74.54;  ;0.6;  ;141.59;  ;0;  ;HIJPR
114;24/04/2017;58.66;  ;5.23;  ;10.55;  ;9.04;  ;100.16;  ;29.52;  ;76.15;  ;0.5;  ;89.31;  ;0.16;  ;HIJPR
115;25/04/2017;68.65;  ;13.64;  ;10.47;  ;15.28;  ;160.55;  ;30.39;  ;72.47;  ;0.65;  ;112.89;  ;0;  ;HIJPR
116;26/04/2017;65.48;  ;16.37;  ;15.35;  ;19.69;  ;49.37;  ;27.67;  ;82.18;  ;0.71;  ;183.88;  ;0.18;  ;HIJPR
117;27/04/2017;61.98;  ;16.42;  ;17.2;  ;20.63;  ;93.89;  ;28.39;  ;75.75;  ;0.67;  ;187.58;  ;0.41;  ;HIJPR
118;28/04/2017;47.66;  ;16.02;  ;11.23;  ;17.42;  ;151.99;  ;28.67;  ;71.78;  ;1.1;  ;217.26;  ;0;  ;HIJPR
119;29/04/2017;39.99;  ;12.21;  ;10.28;  ;14.11;  ;110.63;  ;29.69;  ;64.42;  ;0.82;  ;209.57;  ;0;  ;HIJPR
120;30/04/2017;50.24;  ;6.31;  ;12.73;  ;10.9;  ;127.28;  ;29.94;  ;67.82;  ;0.41;  ;162.62;  ;0;  ;HIJPR
121;01/05/2017;60.9;  ;6.44;  ;14.76;  ;11.99;  ;138.7;  ;29.11;  ;77.08;  ;0.27;  ;129.23;  ;0.62;  ;HIJPR
122;02/05/2017;55.7;  ;16.94;  ;16.03;  ;20.45;  ;109.13;  ;28.62;  ;77.45;  ;0.33;  ;156.31;  ;0;  ;HIJPR
123;03/05/2017;65.89;  ;12.31;  ;17.61;  ;17.76;  ;104.05;  ;29.18;  ;76.48;  ;0.29;  ;147.08;  ;0.05;  ;HIJPR
124;04/05/2017;53.11;  ;15.61;  ;16.81;  ;19.84;  ;96.38;  ;29.27;  ;75;  ;0.6;  ;156.56;  ;0;  ;HIJPR
125;05/05/2017;47.55;  ;8.92;  ;14.38;  ;13.66;  ;90.82;  ;28.84;  ;77.33;  ;0.62;  ;126.53;  ;0.16;  ;HIJPR
126;06/05/2017;51.48;  ;13.05;  ;15.65;  ;17.35;  ;87.59;  ;27.99;  ;82.39;  ;0.77;  ;164.47;  ;0.05;  ;HIJPR
127;07/05/2017;60.19;  ;16.2;  ;16.83;  ;20.28;  ;59.22;  ;27.37;  ;85.28;  ;0.51;  ;156.9;  ;0;  ;HIJPR
128;08/05/2017;56.82;  ;13.05;  ;14.59;  ;16.84;  ;79.06;  ;28.29;  ;79.06;  ;0.64;  ;119.8;  ;0;  ;HIJPR
129;09/05/2017;67.46;  ;12.97;  ;14.35;  ;16.66;  ;90.95;  ;29.34;  ;75.85;  ;0.66;  ;95.77;  ;0;  ;HIJPR
130;10/05/2017;98.88;  ;12.75;  ;15.22;  ;16.93;  ;72.5;  ;28.64;  ;76.22;  ;0.74;  ;93.11;  ;0;  ;HIJPR
131;11/05/2017;78.92;  ;5.43;  ;16.93;  ;12.3;  ;81.1;  ;29.17;  ;71.33;  ;0.61;  ;143.72;  ;0;  ;HIJPR
132;12/05/2017;86;  ;11.58;  ;16.43;  ;16.64;  ;127.75;  ;29.95;  ;72.02;  ;0.41;  ;102.5;  ;0;  ;HIJPR
133;13/05/2017;63.8;  ;6.34;  ;13.75;  ;11.43;  ;78.9;  ;30.08;  ;70;  ;0.53;  ;118.8;  ;0.03;  ;HIJPR
134;14/05/2017;44.38;  ;4.45;  ;13.9;  ;10.09;  ;110.18;  ;30.27;  ;67.59;  ;0.38;  ;131.45;  ;0.31;  ;HIJPR
135;15/05/2017;27.35;  ;4.21;  ;13.87;  ;9.9;  ;119.86;  ;30.83;  ;65.15;  ;0.57;  ;71.62;  ;0.07;  ;HIJPR
